Designator,Footprint,Quantity,Value,LCSC Part #
"R307, R502",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,2.7k,
R309,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,10,
"R321, R331",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,360,
"R325, R335",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,390,
"R326, R336",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,470k,
"R401, R406, R408",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,3,4.7,
R405,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,0.47,
R409,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,150,
R507,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,100,
R711,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,1M,
"R712, R99",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,47k,
R911,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,470,
"RP101, RP102, RP105, RP106, RP107, RP108, RP109, RP110, RP111, RP401",R_Array_SIP10,10,4.7k,
RP103,R_Array_SIP10,1,39,
RP104,R_Array_SIP10,1,470,
"RP201, RP202, RP203",R_Array_SIP10,3,68,
"RP402, RP403",R_Array_SIP10,2,47,
RP501,R_Array_SIP10,1,10k,
TC9,VariCap,1,6.8-45p,
U1,DIP-64_W22.86mm_Socket_LongPads,1,68000D,
"U10, U12, U34, U35",DIP-20_W7.62mm_Socket_LongPads,4,74LS244,
"U11, U13",DIP-20_W7.62mm_Socket_LongPads,2,74LS373,
U14,DIP-14_W7.62mm_Socket_LongPads,1,LF347,
U15,DIP-16_W7.62mm_Socket_LongPads,1,74LS157,
U16,SIMM_TE_Connectivity_5822134-3,1,SIMM,
U17,DIP-14_W7.62mm_Socket_LongPads,1,74LS08,
U18,DIP-14_W7.62mm_Socket_LongPads,1,74LS74,
U19,DIP-14_W7.62mm_Socket_LongPads,1,74F00,
U2,PLCC-84_THT-Socket,1,FAT_AGNUS_8375,
U3,DIP-48_W15.24mm_Socket_LongPads,1,PAULA,
U32,DIP-16_W7.62mm_Socket_LongPads,1,74LS139,
U33,DIP-16_W7.62mm_Socket_LongPads,1,74LS258,
U36,DIP-14_W7.62mm_Socket_LongPads,1,74LS05,
U37,DIP-14_W7.62mm_Socket_LongPads,1,74LS32,
U38,DIP-14_W7.62mm_Socket_LongPads,1,MC1488,
U39,DIP-14_W7.62mm_Socket_LongPads,1,MC1489,
U4,DIP-48_W15.24mm_Socket_LongPads,1,DENISE,
"U40, U41",DIP-20_W7.62mm_Socket_LongPads,2,74LS245,
U42,DIP-8_W7.62mm_Socket_LongPads,1,NE555,
U5,DIP-48_W15.24mm_Socket_LongPads,1,GARY_5719,
U6,DIP-42_W15.24mm_Socket_LongPads,1,ROM,
"U7, U8",DIP-40_W15.24mm_Socket_LongPads,2,VIA_8520,
U9,DIP-18_W7.62mm_Socket_LongPads,1,MSM6242B,
"U90, U91, U92, U93",TSOP-6_Handsolder,4,DT1042,
U94,SOIC-14_3.9x8.7mm_P1.27mm,1,74HCT14,
V0,cc_by_nc_sa,1,OSHW_LOGO,
V1,KiCad-Logo2_6mm_SilkScreen,1,KICAD_LOGO,
V2,Logo,1,PROJ_LOGO,
X1,Oscillator_DIP-14,1,XTAL,
Y9,Crystal_RTC,1,32768,
