Designator,Mid X,Mid Y,Rotation,Layer
E601,250.652501,231.133,90.0,top
E602,246.8245,231.14,90.0,top
E611,223.9645,234.98,180.0,top
E612,227.7745,234.98,180.0,top
E613,231.5845,234.98,180.0,top
E614,235.3945,234.98,180.0,top
E615,239.2045,234.98,180.0,top
E616,243.0145,234.98,180.0,top
E617,220.1545,234.98,180.0,top
E618,216.3445,234.98,180.0,top
E619,212.5345,234.98,180.0,top
E620,208.7245,234.98,180.0,top
E621,204.9145,234.98,180.0,top
E622,201.1045,234.98,180.0,top
E623,197.2945,234.98,180.0,top
E624,262.0645,234.98,180.0,top
E625,258.2545,234.98,180.0,top
E626,254.4445,234.98,180.0,top
E631,158.2225,209.870999,270.0,top
E632,158.2225,205.486,90.0,top
E666,37.1475,158.1785,180.0,top
E702,19.193499,149.606,270.0,top
E703,19.193499,145.669,270.0,top
E704,19.193499,141.732,270.0,top
E791,37.1475,154.3685,0.0,top
E792,37.1475,150.5585,0.0,top
E793,37.1475,143.002,0.0,top
E794,37.1475,146.7485,0.0,top
FB101,51.1175,154.372001,180.0,top
FB102,51.1175,158.1785,180.0,top
FB802,283.21,232.283,90.0,top
HY1,35.7945,210.569,90.0,top
HY2,70.231,210.569,90.0,top
J90,240.5185,210.2485,90.0,top
J91,66.9925,115.014999,0.0,top
J92,73.62825,115.014999,0.0,top
J93,80.264,115.014999,0.0,top
J99,195.7705,164.592,0.0,top
LF1,84.2645,227.4645,270.0,top
LF99,84.2645,229.743,270.0,top
P1,-0.27,134.366,270.0,top
P9,218.1225,50.038,0.0,top
Q301,283.9085,145.542,180.0,top
Q321,271.0815,126.9365,180.0,top
Q331,296.6085,126.9365,180.0,top
Q501,158.2475,215.138,180.0,top
Q502,171.0055,215.138,180.0,top
Q503,171.0055,206.756,180.0,top
Q711,276.1615,159.004,180.0,top
Q921,264.4775,126.456,0.0,top
Q931,303.2125,126.456,0.0,top
Q99,171.6845,180.547,180.0,top
R101,227.7745,128.397,270.0,top
R102,235.3945,128.397,270.0,top
R103,109.1565,128.27,270.0,top
R104,111.6965,128.27,270.0,top
R105,106.6165,128.27,270.0,top
R106,101.5365,128.27,270.0,top
R107,104.0765,128.27,270.0,top
R109,82.423,198.4375,180.0,top
R111,179.8955,128.397,270.0,top
R112,230.3145,128.397,270.0,top
R113,225.2345,128.397,270.0,top
R114,190.0555,128.397,90.0,top
R191,114.8715,220.1545,0.0,top
R192,114.8715,216.3445,0.0,top
R201,153.035,33.655,90.0,top
R204,149.86,33.655,90.0,top
R205,143.51,33.654999,270.0,top
R206,146.685,33.655,90.0,top
R207,195.58,28.575,270.0,top
R208,192.405,28.575,270.0,top
R209,66.675,35.56,0.0,top
R210,83.185,35.56,0.0,top
R301,283.9085,111.188502,180.0,top
R302,283.9085,101.600004,0.0,top
R303,283.9085,120.777,180.0,top
R304,283.9085,117.580834,0.0,top
R305,202.8825,209.18898,90.0,top
R306,267.2715,143.637,180.0,top
R307,267.2715,146.812,0.0,top
R308,300.4185,143.002,180.0,top
R309,95.758,130.302,90.0,top
R321,267.2715,119.507,180.0,top
R322,267.2715,136.628,0.0,top
R323,267.2715,133.429,180.0,top
R324,277.4315,222.758,270.0,top
R325,279.9715,222.758,270.0,top
R326,267.2715,139.827,0.0,top
R331,300.4185,119.591667,0.0,top
