"Reference","Qty","Value","Footprint","MFG Name","MFG Part Num","Mouser"
"E402,E434","2","150p","Raemixx500:EMI_Filter_Long","MURATA","DSS1NB32A151Q91A ","81-DSS1NB32A151Q91A "
"E411,E412,E413,E414,E421,E422,E423,E424","8","6800p","Raemixx500:EMI_Filter_Long","MURATA","DSS1NB32A682Q91A","81-DSS1NB32A682Q91A "
"E415,E416,E417,E425,E426,E427,E441,E442,E443,E444","10","470p","Raemixx500:EMI_Filter_Long","MURATA","DSS1NB32A471Q91A","81-DSS1NB32A471Q91A "
"E431,E432,E433,E435","4","FERR","Raemixx500:EMI_Filter_Long","ABRACON","ALFB-02 ","815-ALFB-02 "
"E501,E502,E503","3","47 1/2W","Raemixx500:EMI_Filter_Longer","VISHAY","PR01000104709JA500 ","594-PR01000104709JA5"
"E511,E512,E513,E514,E515,E516,E517,E518,E519,E521,E522,E523,E524,E611,E612,E613,E614,E615,E616,E617,E618,E619,E620,E621,E622,E623,E624,E625,E626,E631,E632","31","100p","Raemixx500:EMI_Filter_Short","MURATA","DSS1NB32A101Q91A ","81-DSS1NB32A101Q91A "
"E520,E531,E533,E535,E536,E537,E538","7","470p","Raemixx500:EMI_Filter_Short","MURATA","DSS1NB32A471Q91A","81-DSS1NB32A471Q91A "
"E532,E534","2","150p","Raemixx500:EMI_Filter_Short","MURATA","DSS1NB32A151Q91A ","81-DSS1NB32A151Q91A "
"FB102","1","150","Raemixx500:EMI_Filter_Long","YAGEO","MFR-25FBF52-150R","603-MFR-25FBF52-150R"
"FB802","1","Ferrite_Bead_Small","Raemixx500:Ferrite_Axial_L9.0mm_D3.2mm_P12.70mm","FAIR-RITE","2743007111 ","623-2743007111 "
"HY1","1","VIDIOT","Connector_PinHeader_2.54mm:PinHeader_1x22_P2.54mm_Vertical","DVW/SUKKOPERA","OpenAmigaVideoHybrid-04",""
"J99","1","HD_ACT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","AMPHENOL","10129378-902003BLF ","649-1012937890203BLF "
"LF99","1","CM4545Z131B-10","Raemixx500:CM4545Z131B-10","LAIRD","CM4545Z131B-10","875-CM4545Z131B-10 "
"P9","1","TRAPDOOR","Raemixx500:Trapdoor","ADAM TECH","PH2RA-80-UA ","737-PH2RA-80-UA "
"Q301,Q502,Q503","3","2N3906","Package_TO_SOT_THT:TO-92L_Inline_Wide","ONSEMI","2N3906BU ","512-2N3906BU "
"Q321,Q331","2","MPF102 / J113","Package_TO_SOT_THT:TO-92L_Inline_Wide","ONSEMI","J113","512-J113 "
"Q501,Q504,Q711","3","2N3904","Package_TO_SOT_THT:TO-92L_Inline_Wide","ONSEMI","2N3904BU ","512-2N3904BU"
"R101,R102","2","27","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-27R","603-MFR-25FBF52-27R "
"R103,R104,R105,R106,R107,R113","6","47","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-47R","603-MFR-25FBF52-47R "
"R109,R111,R112,R114,R206,R207,R208,R209,R210","9","68","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-68R ","603-MFR-25FBF52-68R "
"R191,R192,R303,R304,R305,R324,R334,R713,R915,R916","10","1k","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-1K","603-MFR-25FBF52-1K "
"R201,R204,R205,R402,R403,R404,R503,R508","8","4.7k","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-4K7 ","603-MFR-25FBF52-4K7 "
"R301,R302","2","10","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-10R ","603-MFR-25FBF52-10R"
"R306,R308,R322,R323,R332,R333,R339,R501,R504,R505,R506,R509,R510,R914","14","10K","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-10K","603-MFR-25FBF52-10K"
"R307,R502","2","2.7k","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-2K7","603-MFR-25FBF52-2K7"
"R309","1","1","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","VISHAY","PR01000101008JA500","594-PR01000101008JA5"
"R321,R331","2","360","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FRF52-360R","603-MFR-25FRF52-360R "
"R325,R335","2","390","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-390R","603-MFR-25FBF52-390R"
"R326,R336","2","470k","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-470K","603-MFR-25FBF52-470K"
"R401,R406,R408","3","4.7","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","VISHAY","PR01000104708JA500 ","594-PR01000104708JA5"
